VARIABLES ="X","H","U","surface" 
Zone T="0" i=200,j=1
1137.5 15.44935131072998 -0.7560311555862427 3101.44935131073
1150.0 13.548016548156738 -0.6059564352035522 3093.5480165481567
1162.5 11.372832298278809 -0.06582149863243103 3083.372832298279
1175.0 10.89388370513916 0.03806033730506897 3078.893883705139
1187.5 12.81071949005127 -0.10097679495811462 3066.8107194900513
1200.0 13.124897956848145 -0.10167369246482849 3061.124897956848
1212.5 12.576888084411621 -0.18206891417503357 3054.5768880844116
1225.0 10.35477066040039 -0.21659740805625916 3048.3547706604004
1237.5 6.375522613525391 -0.22702333331108093 3032.3755226135254
1250.0 4.104276657104492 -0.1606738269329071 3026.1042766571045
1262.5 2.194171667098999 0.0267886221408844 3020.194171667099
1275.0 1.1722934246063232 0.14057090878486633 3013.1722934246063
1287.5 0.14435341954231262 -0.03968605399131775 3008.1443534195423
